LATITUDE,LONGITUDE,probability
48.7389484253,2.2275013053,1.0364832094736508e-293
48.7438423159,2.2275013053,1.0653444907937994e-285
48.7487362065,2.2275013053,4.826151930443403e-278
48.7536300971,2.2275013053,9.63596129829823e-271
48.7585239877,2.2275013053,8.479538893197287e-264
48.7634178783,2.2275013053,3.2887628504344082e-257
48.7683117689,2.2275013053,5.621808032148323e-251
48.7732056595,2.2275013053,4.235479629781409e-245
48.7780995501,2.2275013053,1.406411196424541e-239
48.7829934407,2.2275013053,2.0582833692909946e-234
48.7878873313,2.2275013053,1.3276425015706658e-229
48.7927812219,2.2275013053,3.774333406078711e-225
48.7976751125,2.2275013053,4.729143660279139e-221
48.8025690031,2.2275013053,2.611607368258926e-217
48.8074628937,2.2275013053,6.356475764535074e-214
48.8123567843,2.2275013053,6.81880133988992e-211
48.8172506749,2.2275013053,3.2239092790038604e-208
48.8221445655,2.2275013053,6.718011125366974e-206
48.8270384561,2.2275013053,6.169951600769663e-204
48.8319323467,2.2275013053,2.4975024787988187e-202
48.8368262373,2.2275013053,4.455672179507298e-201
48.8417201279,2.2275013053,3.503512523284194e-200
48.8466140185,2.2275013053,1.2146144381871226e-199
48.8515079091,2.2275013053,1.7896258067171924e-198
48.8564017997,2.2275013053,3.177614157323787e-194
48.8612956903,2.2275013053,3.503500590407574e-190
48.8661895809,2.2275013053,2.150103473617537e-186
48.8710834715,2.2275013053,7.3446474310819514e-183
48.8759773621,2.2275013053,1.3964872387070507e-179
48.8808712527,2.2275013053,1.4779420854710127e-176
48.8857651433,2.2275013053,8.706273123071976e-174
48.8906590339,2.2275013053,2.854707293212394e-171
48.8955529245,2.2275013053,5.210090993254538e-169
48.9004468151,2.2275013053,5.292775317029594e-167
48.9053407057,2.2275013053,2.9927885556925965e-165
48.9102345963,2.2275013053,9.41939560140761e-164
48.9151284869,2.2275013053,1.6501539598828592e-162
48.9200223775,2.2275013053,1.609089945358201e-161
48.9249162681,2.2275013053,8.73354580965114e-161
48.9298101587,2.2275013053,2.6384891363175186e-160
48.9347040493,2.2275013053,4.436846914787209e-160
48.9395979399,2.2275013053,4.152866830253636e-160
48.9444918305,2.2275013053,2.163595111595683e-160
48.9493857211,2.2275013053,6.274200666370227e-161
48.9542796117,2.2275013053,1.0127336578119064e-161
48.9591735023,2.2275013053,9.098850082743242e-163
48.9640673929,2.2275013053,4.550217970944805e-164
48.9689612835,2.2275013053,1.2665791062854684e-165
48.9738551741,2.2275013053,1.9623969674126654e-167
48.9787490647,2.2275013053,1.6923720136076347e-169
48.7389484253,2.2323951959,1.4857216254589493e-280
48.7438423159,2.2323951959,1.541902901077944e-272
48.7487362065,2.2323951959,7.052770280336768e-265
48.7536300971,2.2323951959,1.4218231574777938e-257
