ID,CODGEO,AREA_NAME,SEX,AGE,DIPLOMA,PRO_CAT,TYPE_HOUSE,NBPERS_HOUSE,NB_10,NB_11_17,NB_18_24,NB_25_64,NB_65,PMR,DRIVING_LICENCE,NB_CAR,TWO_WHEELER,BIKE,ELECT_SCOOTER,NAVIGO_SUB,IMAGINER_SUB,OTHER_SUB_PT,BIKE_SUB,NSM_SUB,WEIGHT_INDIV,GPS_RECORD
10_2978,78092,Bougival,Woman,41,,4,In a couple with child(ren),2,1,0.0,0.0,1,0,False,True,2,1,2,0,False,False,False,False,False,1856.2061595,True
10_2980,75120,Paris,Man,30,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,Living alone,1,0,0.0,0.0,0,0,False,True,0,0,0,0,True,False,False,False,False,1375.0003715,True
10_2981,91326,Juvisy-sur-Orge,Man,38,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple without children,2,0,0.0,0.0,2,0,False,True,1,0,1,0,True,False,False,False,False,1231.8129904,True
10_2982,91573,Saint-Pierre-du-Perray,Man,43,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",2,Single parent (divorced / separated / widowed),1,1,0.0,0.0,0,0,False,True,1,0,2,0,True,False,False,False,False,426.31161601,True
10_2984,78073,Bois-d'Arcy,Woman,39,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,Living alone,1,0,0.0,0.0,0,0,False,True,1,0,1,0,True,False,False,True,False,843.19472559,True
10_2987,93027,La Courneuve,Woman,17,Lower secondary certificate (Brevet) or equivalent,7,Living with one or both parents,5,0,3.0,0.0,2,0,False,False,0,0,3,0,False,True,False,False,False,4703.1195667,True
10_2988,91434,Morsang-sur-Orge,Woman,40,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",1,Living alone,1,0,0.0,0.0,0,0,False,True,1,0,0,0,False,False,False,False,False,852.28196162,True
10_2989,91477,Palaiseau,Woman,58,Upper secondary diploma (Baccalauréat) or equivalent,3,Single parent (divorced / separated / widowed),2,0,0.0,1.0,1,0,False,True,2,0,0,0,False,False,False,False,False,12594.255712,True
10_2990,75113,Paris,Woman,29,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",8,In a couple without children,2,0,0.0,0.0,2,0,False,True,0,0,0,0,True,False,False,False,False,1495.3222211,True
10_2991,95680,Villiers-le-Bel,Man,72,"Vocational certificate (CAP, BEP) or equivalent",6,In a couple without children,1,0,0.0,0.0,0,1,False,,2,0,2,0,False,False,False,False,False,5835.0116911,True
