LATITUDE,LONGITUDE,probability
48.7389484253,2.2275013053,-0.00877626
48.7438423159,2.2275013053,-0.00877626
48.7487362065,2.2275013053,-0.00877626
48.7536300971,2.2275013053,-0.00877626
48.7585239877,2.2275013053,-0.00877626
48.7634178783,2.2275013053,-0.00877626
48.7683117689,2.2275013053,0.00051759597
48.7732056595,2.2275013053,-0.017659653
48.7780995501,2.2275013053,-0.017659653
48.7829934407,2.2275013053,-0.012086211
48.7878873313,2.2275013053,-0.005178634
48.7927812219,2.2275013053,0.014372074
48.7976751125,2.2275013053,0.033702154
48.8025690031,2.2275013053,0.030339176
48.8074628937,2.2275013053,0.007877996
48.8123567843,2.2275013053,0.094230436
48.8172506749,2.2275013053,-0.100612454
48.8221445655,2.2275013053,-0.1251775
48.8270384561,2.2275013053,-0.11690614
48.8319323467,2.2275013053,-0.14286318
48.8368262373,2.2275013053,-0.1905973
48.8417201279,2.2275013053,-0.13868514
48.8466140185,2.2275013053,-0.18201832
48.8515079091,2.2275013053,-0.22587185
48.8564017997,2.2275013053,-0.2494726
48.8612956903,2.2275013053,-0.25039306
48.8661895809,2.2275013053,-0.21238215
48.8710834715,2.2275013053,-0.3177084
48.8759773621,2.2275013053,-0.34131005
48.8808712527,2.2275013053,-0.21409845
48.8857651433,2.2275013053,-0.33659336
48.8906590339,2.2275013053,-0.2333362
48.8955529245,2.2275013053,-0.10606505
48.9004468151,2.2275013053,-0.14236839
48.9053407057,2.2275013053,0.047597334
48.9102345963,2.2275013053,0.042935498
48.9151284869,2.2275013053,-4.1055795e-05
48.9200223775,2.2275013053,0.010726846
48.9249162681,2.2275013053,-0.009318272
48.9298101587,2.2275013053,-0.019903751
48.9347040493,2.2275013053,-0.024434933
48.9395979399,2.2275013053,-0.024434933
48.9444918305,2.2275013053,-0.024434933
48.9493857211,2.2275013053,-0.027905475
48.9542796117,2.2275013053,-0.03508877
48.9591735023,2.2275013053,-0.03508877
48.9640673929,2.2275013053,-0.03508877
48.9689612835,2.2275013053,-0.03508877
48.9738551741,2.2275013053,-0.03508877
48.9787490647,2.2275013053,-0.03508877
48.7389484253,2.2323951959,-0.00877626
48.7438423159,2.2323951959,-0.00877626
48.7487362065,2.2323951959,-0.00877626
48.7536300971,2.2323951959,-0.00877626
48.7585239877,2.2323951959,-0.00877626
48.7634178783,2.2323951959,-0.00877626
48.7683117689,2.2323951959,0.00051759597
48.7732056595,2.2323951959,-0.017659653
48.7780995501,2.2323951959,-0.017659653
48.7829934407,2.2323951959,-0.012086211
48.7878873313,2.2323951959,-0.005178634
48.7927812219,2.2323951959,0.014372074
